actions,authorityDate,citation,committees,congress,description,hearings,latestAction,nominationType,nominees,number,partNumber,receivedDate,updateDate,contentType,format
"{'count': 10, 'url': 'https://api.congress.gov/v3/nomination/118/441/actions?format=json'}",2025-06-26,PN441,"{'count': 2, 'url': 'https://api.congress.gov/v3/nomination/118/441/committees?format=json'}",118,"Fara Damelin, of Virginia, to be Inspector General, Federal Communications Commission.  (New Position)","{'count': 1, 'url': 'https://api.congress.gov/v3/nomination/118/441/hearings?format=json'}","{'actionDate': '2024-03-07', 'text': 'Confirmed by the Senate by Voice Vote.'}",{'isCivilian': True},"[{'nomineeCount': 1, 'ordinal': 1, 'organization': 'Federal Communications Commission', 'positionTitle': 'Inspector General', 'url': 'https://api.congress.gov/v3/nomination/118/441/1?format=json'}]",441,00,2023-03-21,2025-06-27T11:01:14Z,,
,,,,118,,,,,,441,,,,application/json,json
